,backprop,bfs,cfd,heartwall,hotspot,hotspot3d,kmeans,lavaMD,lud,myocyte,nn,nw,particle,pathfinder,srad,streamcluster
,0.095813,0.027869,6.04557,3.097674,0.022,0.238,0.446999,102.340194702148,0.224081,0.131666004658,0.001268370892,0.198,0.042753,5.626138,0.013432,6.52283
,0.0621,0.028975,8.60768,3.105262,0.021,0.218,0.449041,101.919609069824,0.149425,0.135946005583,0.001284022117,0.216,0.03588,5.563114,0.013701,5.545169
,0.041118,0.053243,6.60527,3.06751,0.014,0.247,0.496191,101.993804931641,0.179246,0.119240000844,0.001270444947,0.2,0.02599,8.060829,0.037979,5.909568
,0.055819,0.052215,6.09072,3.07354,0.013,0.19,0.468819,101.822509765625,0.253097,0.138804003596,0.00125930307,0.228,0.042228,47.865861,0.012972,5.718455
,0.07779,0.098328,6.3165,3.025829,0.013,0.232,0.533694,101.783721923828,0.174948,0.121065996587,0.001272048103,0.21,0.03703,6.692567,0.012665,5.8431
,0.036231,0.077188,5.95317,3.045834,0.013,0.228,0.487442,101.988960266113,0.158011,0.239037007093,0.001294488902,0.193,0.032551,7.853451,0.013596,5.684947
,0.091896,0.064803,6.5839,3.008441,0.017,0.218,0.488022,101.59529876709,0.145677,0.140309005976,0.001268001972,0.214,0.028978,6.165789,0.014232,5.92957
,0.040934,0.063715,6.96255,3.209872,0.012,0.238,0.450759,101.630653381348,0.332522,0.132671996951,0.001360801049,0.193,0.023094,6.912978,0.012135,5.579124
,0.032524,0.051096,7.8576,3.11859,0.013,0.221,0.457877,101.683158874512,0.14103,0.109908998013,0.001289129956,0.247,0.039752,8.918609,0.037756,5.951342
,0.058618,0.031121,6.66005,2.986695,0.012,0.249,0.424348,101.366516113281,0.127301,0.159252002835,0.001260493998,0.226,0.032254,99.204241,0.01439,5.680514
,0.040727,0.056642,6.58085,3.285958,0.013,0.236,0.444694,102.205513000488,0.128307,0.128272995353,0.00129171717,0.257,0.034789,7.013338,0.013673,5.899422
,0.03773,0.053756,6.73347,3.135431,0.014,0.232,0.483241,101.414199829102,0.145861,0.158200994134,0.001261141035,0.25,0.041312,11.821412,0.013152,6.771318
,0.064191,0.053368,5.96544,3.164498,0.013,0.239,0.456606,101.516456604004,0.116266,0.124923996627,0.001260303892,0.218,0.032915,6.901135,0.013991,5.849097
,0.0531,0.067892,6.40964,3.112042,0.012,0.241,0.46697,101.547492980957,0.159098,0.118603996933,0.00126963004,0.219,0.0293,34.143022,0.012974,5.854582
,0.122737,0.050765,6.48644,3.067466,0.012,0.238,0.505806,102.549049377441,0.129287,0.127557992935,0.001291644992,0.255,0.057419,38.8197,0.011973,5.784478
,0.034697,0.068785,6.8536,3.207219,0.012,0.225,0.448305,101.860282897949,0.12139,0.120342001319,0.001275786082,0.26,0.022711,47.42245,0.011099,5.575337
,0.085193,0.056294,6.15021,3.078389,0.012,0.238,0.515534,102.440940856934,0.161364,0.12141700089,0.001261673053,0.218,0.034613,46.445593,0.013124,5.682699
,0.040351,0.052264,6.22114,3.078826,0.013,0.241,0.439594,101.848609924316,0.132534,0.148821994662,0.001299478929,0.25,0.033232,26.553771,0.012972,7.302897
,0.055245,0.050448,7.68692,3.052113,0.013,0.234,0.460722,101.232986450195,0.132276,0.103321000934,0.001309723011,0.207,0.026611,7.073982,0.013277,5.821359
,0.04,0.072026,7.12629,3.078202,0.013,0.209,0.455269,102.430770874023,0.232319,0.125299006701,0.001293204958,0.208,0.050632,87.825587,0.011506,6.734054
,0.076632,0.087234,10.0653,3.044698,0.013,0.213,0.459227,101.866966247559,0.179513,0.229736000299,0.001276683994,0.206,0.028605,5.650181,0.013307,7.243856
,0.038776,0.083261,7.14899,3.084477,0.03,0.224,0.445971,101.814605712891,0.234477,0.117787003517,0.001293408102,0.264,0.051314,5.797602,0.015046,5.918783
,0.066612,0.027934,6.77114,3.046216,0.012,0.236,0.450406,102.060745239258,0.135093,0.133759006858,0.001372726983,0.212,0.036449,7.339452,0.013403,5.906655
,0.055947,0.064999,7.27109,3.082708,0.013,0.242,0.547159,101.013717651367,0.120812,0.135658994317,0.001273067202,0.234,0.038398,49.103837,0.013955,7.980747
,0.03794,0.031803,6.73964,3.068472,0.013,0.247,0.533471,101.679901123047,0.147302,0.161974996328,0.001272272901,0.233,0.028637,5.685143,0.013778,5.673426
,0.041787,0.071014,5.90439,3.008051,0.013,0.218,0.456125,101.430999755859,0.156074,0.103387996554,0.001278616954,0.166,0.066959,5.545724,0.011897,5.349647
,0.059781,0.03042,5.83692,3.066296,0.012,0.207,0.455806,101.663986206055,0.219314,0.117941997945,0.001301724929,0.268,0.023111,66.763148,0.014115,6.506716
,0.049709,0.031816,6.05342,3.090119,0.012,0.241,0.464015,101.742919921875,0.195479,0.095527999103,0.001270066015,0.283,0.028509,12.235632,0.013232,6.1853
,0.06027,0.069805,7.69602,3.053628,0.013,0.2,0.489845,131.075180053711,0.233466,0.145417004824,0.001274419017,0.175,0.035828,4.974144,0.014032,6.699994
,0.038484,0.098054,6.63618,3.07827,0.013,0.239,0.476111,102.598350524902,0.146843,0.132605999708,0.001262681093,0.215,0.04019,46.665481,0.014979,12.033276
,0.081416,0.050337,6.46511,3.201413,0.013,0.238,0.500468,101.752792358398,0.121115,0.134406000376,0.001244993065,0.186,0.029266,38.452919,0.013948,6.898972
,0.049782,0.031532,5.91863,3.199388,0.014,0.203,0.564207,103.132987976074,0.193931,0.1339700073,0.001313042012,0.267,0.035092,5.630268,0.014741,5.860494
,0.108367,0.051077,6.46239,3.099797,0.013,0.212,0.45367,102.214378356934,0.098913,0.234940007329,0.001312606968,0.283,0.031584,6.933352,0.013296,5.922781
,0.056543,0.074038,6.47582,3.2793,0.013,0.221,0.508285,101.460815429688,0.165497,0.126762002707,0.001279590884,0.22,0.030822,11.019875,0.013348,5.870439
,0.079665,0.054792,6.96822,3.042883,0.013,0.199,0.459163,102.809219360352,0.139487,0.128989994526,0.001285000937,0.24,0.042241,12.983159,0.013054,7.20883
