Function Stack                                                                                               CPU Time:Total  CPU Time:Effective Time:Total  CPU Time:Spin Time:Total  CPU Time:Overhead Time:Total  CPU Time:Self  CPU Time:Effective Time:Self  CPU Time:Spin Time:Self  CPU Time:Overhead Time:Self  Module            Function (Full)                                                                                                                 Source File                Start Address
-----------------------------------------------------------------------------------------------------------  --------------  -----------------------------  ------------------------  ----------------------------  -------------  ----------------------------  -----------------------  ---------------------------  ----------------  ------------------------------------------------------------------------------------------------------------------------------  -------------------------  -------------
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x40330c     
       operator()                                                                                                    0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  operator()                                                                                                                      particle_m_1.cxx           0x40330c     
        roundDouble                                                                                                  0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  roundDouble(double)                                                                                                             cuda_lib_particle_m_1.cu   0xbb04b0     
    _M_invoke                                                                                                        0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_invoke                                                                                                                       std_function.h             0x402e20     
     __invoke_r<void, main(int, char**)::<lambda()>&>                                                                0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_r<void, main(int, char**)::<lambda()>&>                                                                                invoke.h                   0x402e20     
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x402e20     
       operator()                                                                                                    0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  operator()                                                                                                                      particle_m_1.cxx           0x402e20     
    _M_invoke                                                                                                        0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  _M_invoke                                                                                                                       std_function.h             0x402e3c     
     __invoke_r<void, main(int, char**)::<lambda()>&>                                                                0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_r<void, main(int, char**)::<lambda()>&>                                                                                invoke.h                   0x402e3c     
      __invoke_impl<void, main(int, char**)::<lambda()>&>                                                            0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  __invoke_impl<void, main(int, char**)::<lambda()>&>                                                                             invoke.h                   0x402e3c     
